experiment,metric,value
A,explicit_correct,true
A,name_derived_baseline_correct,false
B,persistence_failure_atomic,true
B,retry_recovered,true
C,idempotent_unique_persisted_runs_after_restart,1
C,restart_preserved_idempotency,true
C,contract_outcome_stable_across_seeds,true
C,same_seed_report_stable,true
D:questionnaire-basic,comparable_pairs,12
D:questionnaire-basic,outcome_improved_pairs,0
D:questionnaire-basic,baseline_p50_ns,487100
D:questionnaire-basic,flexible_p50_ns,1413700
D:questionnaire-dynamic-field,comparable_pairs,12
D:questionnaire-dynamic-field,outcome_improved_pairs,12
D:questionnaire-dynamic-field,baseline_p50_ns,466700
D:questionnaire-dynamic-field,flexible_p50_ns,1177600
D:questionnaire-knowledge-graph,comparable_pairs,12
D:questionnaire-knowledge-graph,outcome_improved_pairs,0
D:questionnaire-knowledge-graph,baseline_p50_ns,437400
D:questionnaire-knowledge-graph,flexible_p50_ns,1370000
